"""psraid"" ""sample"" ""segment"" ""int_date"" ""lang"" ""stz"" ""scregion"" ""sstate"" ""susr"" ""sstratum"" ""form"" ""qs1"" ""qs2a"" ""qs2b"" ""qs3"" ""q1"" ""q2a"" ""q2b"" ""q2c"" ""q4a"" ""q4b"" ""q4c"" ""q4df1"" ""q4ef2"" ""q5f1"" ""q5af1"" ""q6f2"" ""q6af2"" ""hisp"" ""race3m1"" ""race3m2"" ""race3m3"" ""race3m4"" ""q7"" ""q8"" ""q8a"" ""q10a"" ""q10b"" ""q10c"" ""q10d"" ""snsint2"" ""q13a"" ""q13b"" ""q15a"" ""q15b"" ""q16"" ""q18"" ""q19af1"" ""q19bf1"" ""q19cf1"" ""q19df1"" ""q19ef1"" ""q19ff1"" ""q19af2"" ""q19bf2"" ""q19cf2"" ""q19df2"" ""q19ef2"" ""q19ff2"" ""q20a"" ""q20b"" ""q20c"" ""q20d"" ""q20e"" ""q21a"" ""q21b"" ""q21c"" ""q22"" ""q23"" ""q24a"" ""q24bf1"" ""q24cf2"" ""q24d"" ""q24ef1"" ""q24ff2"" ""q27"" ""q30a"" ""q30b"" ""q30c"" ""q33"" ""q34"" ""q35"" ""q36"" ""q42"" ""q43a"" ""q43b"" ""q43c"" ""q43d"" ""sex"" ""age"" ""marital"" ""lwp"" ""educ2"" ""schl"" ""q100"" ""qe3"" ""birth_hisp"" ""q101"" ""relig"" ""chr"" ""born"" ""attend"" ""q102"" ""income"" ""reg"" ""party"" ""partyln"" ""ideo"" ""hh1"" ""hh3"" ""ql1"" ""ql1a"" ""qc1"" ""racethn"" ""raceos"" ""religos"" ""racecmb"" ""usr"" ""cregion"" ""state"" ""density"" ""child"" ""partysum"" ""partyideo"" ""gen5"" ""racethn2"" ""recage"" ""recage2"" ""receduc"" ""adults"" ""iphoneuse"" ""hphoneuse"" ""ll"" ""cp"" ""weight"""
"""39"" 100167 1 1 22916 1 ""P"" 4 53 ""S"" 3 2 NA NA NA NA 1 1 1 1 1 1 1 NA 1 NA NA 3 NA 2 1 NA NA NA NA 1 1 1 9 4 9 1 4 4 3 3 1 3 NA NA NA NA NA NA 3 3 9 3 1 3 2 2 2 2 1 NA NA NA 1 4 3 NA 2 2 NA 1 3 NA NA NA 2 3 2 1 2 1 2 2 2 2 67 5 NA 6 NA NA 5 NA 3 1 NA 2 2 NA 6 1 1 NA 3 3 3 1 NA NA 1 """" """" 1 ""S"" 4 53 3 0 1 2 3 1 6 4 3 3 2 2 1 1 1.89412991871568"
"""40"" 100169 1 1 22916 1 ""C"" 2 29 ""S"" 7 1 NA NA NA NA 1 1 1 2 3 2 1 2 NA 2 3 NA NA 2 1 NA NA NA NA 2 1 3 3 3 2 2 NA NA 2 2 2 3 3 1 3 1 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 1 2 1 1 NA 1 1 NA 2 NA NA NA 2 1 2 3 2 2 1 2 2 1 50 1 NA 8 5 NA 1 NA 3 1 NA 1 1 NA 9 1 1 NA 2 4 3 1 NA NA 1 """" """" 1 ""S"" 2 29 4 1 1 1 4 1 4 3 3 3 2 2 1 1 0.749886333086307"
"""41"" 100171 1 1 31216 1 ""E"" 1 25 ""S"" 2 2 NA NA NA NA 2 5 1 1 4 4 2 NA 4 NA NA 3 NA 2 1 NA NA NA NA 4 NA 4 2 4 4 2 NA NA 3 3 9 3 NA NA NA NA NA NA 3 3 9 9 9 3 2 2 2 2 2 NA NA NA 2 1 3 NA 1 9 NA 1 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 86 5 NA 3 NA NA 3 NA 5 2 NA 2 4 NA 99 1 3 9 3 2 2 2 2 NA 1 """" """" 1 ""S"" 1 25 2 0 9 3 2 1 6 4 1 2 1 1 1 0 3.69"
"""42"" 100172 1 1 41616 2 ""P"" 4 6 ""U"" 8 2 NA NA NA NA 3 2 2 4 4 4 4 NA 3 NA NA 2 1 1 7 NA NA NA NA 3 2 2 2 3 1 2 NA NA 3 3 2 3 NA NA NA NA NA NA 1 1 1 1 1 1 2 2 1 2 1 NA NA NA 1 4 1 NA 1 1 NA 1 4 NA NA NA 1 3 1 1 1 2 2 1 2 2 58 1 NA 1 5 NA 3 3 3 2 NA 2 2 NA 99 3 9 9 2 4 4 1 NA NA 3 """" """" 5 ""U"" 3 10 2 0 9 9 3 4 5 3 1 3 2 2 1 1 0.720850272384097"
"""43"" 100176 1 1 30316 1 ""C"" 3 28 ""R"" 10 1 NA NA NA NA 3 2 3 3 1 4 4 4 NA 2 3 NA NA 2 2 5 NA NA NA 1 1 4 3 4 4 2 NA NA 3 3 2 1 1 3 3 3 3 3 NA NA NA NA NA NA 2 1 2 1 2 NA NA NA 2 1 3 3 NA 3 1 NA 1 NA NA NA 3 NA NA NA 1 2 1 1 1 2 70 5 NA 2 NA NA 4 NA 5 1 NA 1 2 NA 1 1 2 NA 5 1 NA 1 NA NA 4 """" """" 4 ""R"" 3 28 1 0 2 5 3 5 6 4 1 1 2 2 1 1 0.297109491698203"
"""44"" 100184 1 1 50816 1 ""P"" 4 6 ""U"" 9 2 NA NA NA NA 1 1 1 1 3 4 2 NA 4 NA NA 2 2 1 1 NA NA NA NA 1 1 3 2 2 1 2 NA NA 2 2 3 1 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 1 NA NA NA 2 1 3 NA 1 2 NA 9 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 70 1 NA 3 NA NA 3 1 3 2 NA 1 2 NA 4 1 3 2 2 2 2 1 NA NA 3 """" """" 1 ""U"" 4 6 2 0 2 3 3 3 6 4 1 2 2 2 1 1 0.340919847290502"
"""45"" 100197 1 1 22916 1 ""E"" 3 51 ""S"" 8 2 NA NA NA NA 2 1 1 2 1 2 1 NA 1 NA NA 2 1 2 1 NA NA NA NA 1 1 2 2 4 1 2 NA NA 3 3 2 2 NA NA NA NA NA NA 1 3 3 1 3 3 2 2 2 2 1 NA NA NA 2 4 2 NA 1 2 NA 1 4 NA NA NA 1 2 4 4 2 2 2 2 2 1 72 1 NA 6 NA NA 2 NA 3 1 NA 1 2 NA 7 1 3 1 2 3 3 1 NA NA 1 """" """" 1 ""S"" 3 51 2 0 1 3 2 1 6 4 3 3 2 2 1 1 0.468988083405512"
"""46"" 100201 1 1 31016 1 ""E"" 1 36 ""S"" 3 1 NA NA NA NA 2 1 1 2 2 2 2 2 NA 2 3 NA NA 2 1 NA NA NA NA 2 1 1 1 3 1 2 NA NA 2 3 2 2 3 3 9 3 9 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 1 1 1 NA 3 1 NA 4 NA NA NA 2 2 1 2 3 2 2 2 2 2 90 5 NA 6 NA NA 5 NA 3 1 NA 2 5 NA 6 1 2 NA 4 1 NA 2 NA NA 1 """" """" 1 ""S"" 1 36 2 0 2 5 1 1 6 4 3 1 1 1 1 0 2.24605078858288"
"""47"" 100205 1 1 22916 1 ""E"" 3 13 ""S"" 10 1 NA NA NA NA 2 1 1 2 2 1 1 1 NA 1 3 NA NA 2 2 NA NA NA 1 2 1 1 2 3 1 1 2 3 1 2 2 2 3 3 3 3 1 3 NA NA NA NA NA NA 2 2 2 2 2 2 2 2 2 1 2 1 NA 2 3 NA 4 2 3 2 1 1 1 3 2 2 1 2 2 1 30 6 NA 4 2 2 1 NA 4 10 NA NA 5 1 6 3 2 NA 4 2 2 1 NA NA 2 """" """" 2 ""S"" 3 13 5 0 2 5 5 2 2 2 2 2 2 2 1 1 0.138796290089952"
"""48"" 100208 1 1 30816 1 ""E"" 3 12 ""S"" 4 1 NA NA NA NA 3 1 2 3 2 3 2 3 NA 2 3 NA NA 2 1 NA NA NA NA 3 2 4 4 3 2 2 NA NA 3 3 2 3 3 3 3 1 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 9 4 2 2 NA 3 3 NA 4 NA NA NA 3 NA NA NA 4 2 2 2 3 1 89 1 NA 5 NA NA 5 NA 3 1 NA 1 3 NA 3 1 1 NA 3 2 2 1 NA NA 1 """" """" 1 ""S"" 3 12 3 0 1 2 1 1 6 4 2 2 2 2 1 1 1.60015291544289"
"""49"" 100215 1 1 30516 1 ""E"" 1 34 ""S"" 3 2 NA NA NA NA 2 1 1 1 2 2 2 NA 2 NA NA 2 1 2 1 NA NA NA NA 2 1 1 1 2 1 1 3 4 3 3 1 3 NA NA NA NA NA NA 3 3 3 9 3 3 2 2 2 2 1 NA NA NA 1 2 1 NA 1 1 NA 1 4 NA NA NA 2 3 2 2 1 2 2 2 2 2 66 1 NA 3 NA NA 5 NA 2 2 NA 2 4 NA 8 1 1 NA 3 2 2 1 NA NA 1 """" """" 1 ""S"" 1 34 4 0 1 2 3 1 6 4 1 2 2 2 1 1 3.69"
"""50"" 100225 1 1 22916 1 ""C"" 2 17 ""S"" 9 1 NA NA NA NA 2 1 1 2 2 1 1 2 NA 2 2 NA NA 2 1 NA NA NA NA 2 1 2 3 3 1 1 2 3 2 2 1 2 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 4 2 1 NA 2 2 NA 4 NA NA NA 1 4 3 3 2 2 2 1 2 1 19 6 NA 3 5 NA 2 NA 3 2 NA 1 3 NA 3 2 1 NA 1 1 NA 1 NA NA 1 """" """" 1 ""S"" 2 17 5 0 1 1 5 1 1 1 1 1 2 2 1 1 0.328127972619761"
"""51"" 100235 1 1 22916 1 ""P"" 4 6 ""S"" 9 2 NA NA NA NA 1 1 1 1 2 2 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 3 1 2 1 3 2 2 NA NA 3 2 3 3 NA NA NA NA NA NA 3 3 9 1 3 3 2 2 2 2 2 NA NA NA 1 4 2 NA 3 1 NA 1 4 NA NA NA 1 4 5 3 2 2 2 2 3 2 77 1 NA 7 NA NA 5 NA 2 1 NA 1 2 NA 7 1 3 9 2 2 2 1 NA NA 1 """" """" 1 ""S"" 4 6 1 0 9 3 2 1 6 4 3 2 2 2 1 1 0.239467851818919"
"""52"" 100237 1 1 41716 1 ""E"" 3 13 ""U"" 10 2 NA NA NA NA 2 4 2 4 1 4 3 NA 1 NA NA 2 2 2 2 NA NA NA 3 1 2 2 2 2 1 1 2 2 3 1 2 2 NA NA NA NA NA NA 3 3 3 1 3 3 1 1 2 2 2 2 2 2 2 1 1 NA 1 2 NA 1 4 1 2 1 1 1 1 2 1 2 1 1 2 2 33 6 NA 2 5 NA 1 NA 2 11 2 NA 5 2 1 2 3 9 2 3 1 2 2 NA 2 """" ""SPIRITUAL"" 2 ""U"" 3 13 3 2 9 3 5 2 2 2 1 1 1 1 1 0 0.737606979789346"
"""53"" 100241 1 1 30516 1 ""P"" 4 6 ""S"" 6 1 NA NA NA NA 2 3 1 3 2 2 1 1 NA 2 3 NA NA 2 2 NA NA NA 1 1 2 2 2 2 2 1 2 3 1 3 2 2 1 1 1 1 1 1 NA NA NA NA NA NA 2 2 1 2 1 1 1 1 1 1 1 1 NA 2 2 NA 2 2 1 2 1 1 1 2 3 2 1 1 2 2 43 1 NA 5 5 2 1 NA 3 13 NA 2 3 2 7 1 2 NA 3 5 3 1 NA NA 2 """" """" 2 ""S"" 4 6 4 2 2 4 4 2 3 2 2 3 2 2 1 1 1.24"
"""54"" 100248 1 1 22916 1 ""E"" 3 54 ""S"" 1 2 NA NA NA NA 2 2 1 2 3 4 3 NA 4 NA NA 2 1 2 1 NA NA NA NA 1 1 1 1 1 1 1 2 4 3 3 1 3 NA NA NA NA NA NA 3 3 3 9 9 3 1 1 2 2 1 NA NA NA 2 2 2 NA 3 1 NA 1 4 NA NA NA 2 3 2 2 3 2 2 2 2 2 52 1 NA 3 5 NA 2 NA 4 12 NA NA 6 NA 4 3 3 9 4 2 2 1 NA NA 1 """" """" 1 ""S"" 3 54 1 0 9 3 3 1 4 3 1 2 2 2 1 1 2.5326997689851"
"""55"" 100251 1 1 30516 1 ""M"" 4 30 ""R"" 1 2 NA NA NA NA 3 9 1 2 1 1 1 NA 3 NA NA 1 NA 2 1 NA NA NA NA 3 2 2 2 4 2 1 9 4 3 2 1 9 NA NA NA NA NA NA 3 3 9 3 2 3 2 2 2 2 1 NA NA NA 2 4 3 NA 1 1 NA 1 4 NA NA NA 1 2 4 4 2 2 2 2 2 1 72 1 NA 4 NA NA 5 NA 3 2 NA 1 2 NA 4 1 3 1 2 2 2 1 NA NA 1 """" """" 1 ""R"" 4 30 1 0 1 3 2 1 6 4 2 2 2 2 1 1 1.47120650117696"
"""56"" 100253 1 1 22916 1 ""C"" 3 48 ""R"" 5 2 NA NA NA NA 3 4 4 4 1 2 1 NA 3 NA NA 3 NA 2 1 NA NA NA NA 3 2 4 4 4 4 2 NA NA 3 3 1 3 NA NA NA NA NA NA 3 3 3 9 3 3 2 2 2 2 1 NA NA NA 4 4 3 NA 3 1 NA 3 4 NA NA NA 1 3 4 4 1 2 2 2 2 1 90 5 NA 3 NA NA 3 NA 3 1 NA 1 4 NA 3 1 1 NA 2 2 2 1 NA NA 1 """" """" 1 ""R"" 3 48 1 0 1 1 1 1 6 4 1 2 2 2 1 1 1.71320774491554"
"""57"" 100256 1 1 30316 2 ""P"" 4 6 ""S"" 7 1 NA NA NA NA 3 1 1 1 4 4 4 4 NA 2 2 NA NA 1 7 NA NA NA NA 3 2 2 3 3 2 2 NA NA 3 3 2 2 2 2 2 2 2 2 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 2 1 1 NA 1 1 NA 4 NA NA NA 3 NA NA NA 9 2 2 2 2 2 63 1 NA 1 5 NA 3 3 3 2 NA 9 2 NA 99 3 4 9 3 4 4 2 2 NA 3 """" """" 5 ""S"" 4 6 4 0 9 9 3 4 5 3 1 3 1 1 1 0 2.49"
"""58"" 100257 1 1 22916 1 ""P"" 4 41 ""R"" 2 1 NA NA NA NA 2 1 1 2 1 2 1 1 NA 2 2 NA NA 2 1 NA NA NA NA 2 1 1 1 2 1 1 2 3 2 1 2 2 3 3 1 1 1 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 1 1 1 NA 2 3 NA 4 NA NA NA 1 2 1 2 2 2 2 2 2 2 71 3 NA 4 NA NA 5 NA 3 10 NA NA 5 NA 5 1 2 NA 5 1 NA 1 NA NA 1 """" """" 1 ""R"" 4 41 1 0 2 5 2 1 6 4 2 1 2 2 1 1 1.31544851086582"
"""59"" 100261 1 1 30516 1 ""P"" 4 41 ""R"" 3 2 NA NA NA NA 1 1 1 1 2 3 1 NA 3 NA NA 1 NA 2 1 NA NA NA NA 3 1 2 2 4 2 1 2 3 3 3 1 9 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 1 NA NA NA 9 4 3 NA 3 3 NA 3 4 NA NA NA 2 4 4 4 4 2 2 2 2 2 72 1 NA 3 NA NA 3 NA 3 1 NA 1 1 NA 4 1 1 NA 2 2 2 1 NA NA 1 """" """" 1 ""R"" 4 41 1 0 1 1 2 1 6 4 1 2 2 2 1 1 3.14111663863748"
"""60"" 100266 1 1 22916 1 ""C"" 3 48 ""U"" 10 2 NA NA NA NA 1 1 1 1 2 2 2 NA 1 NA NA 1 NA 1 1 NA NA NA NA 4 NA 1 1 1 1 2 NA NA 3 2 2 2 NA NA NA NA NA NA 1 3 1 1 1 1 2 2 2 1 2 NA NA NA 2 1 2 NA 3 2 NA 2 4 NA NA NA 2 2 1 1 1 2 2 2 2 2 18 6 NA 4 3 NA 1 3 3 2 NA 1 2 NA 3 3 9 2 2 4 2 1 NA NA 3 """" """" 1 ""U"" 3 48 3 2 2 9 5 4 1 1 2 2 2 2 1 1 0.515800264826624"
"""61"" 100267 1 1 41016 1 ""P"" 4 41 ""R"" 1 1 NA NA NA NA 3 1 1 1 1 1 1 1 NA 2 2 NA NA 2 1 NA NA NA NA 4 NA 2 2 2 1 2 NA NA 3 1 2 2 3 3 9 3 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 2 1 1 1 NA 2 1 NA 4 NA NA NA 2 4 9 9 3 2 2 2 2 2 74 1 NA 3 NA NA 3 NA 4 1 NA 2 5 NA 6 1 2 NA 3 2 2 1 NA NA 1 """" """" 1 ""R"" 4 41 1 0 2 4 2 1 6 4 1 2 2 2 1 1 3.10426445221403"
"""62"" 100268 1 1 22916 1 ""P"" 4 6 ""U"" 10 1 NA NA NA NA 3 1 3 9 1 2 1 2 NA 1 1 NA NA 2 1 NA NA NA NA 2 1 1 1 2 1 1 3 3 3 3 3 2 3 3 9 1 1 3 NA NA NA NA NA NA 2 1 1 2 2 NA NA NA 2 1 2 1 NA 3 2 NA 4 NA NA NA 2 2 1 2 2 2 2 2 2 2 36 6 NA 6 5 NA 2 NA 9 12 NA NA 6 NA 99 1 2 NA 4 3 3 1 NA NA 1 """" """" 1 ""U"" 4 6 5 0 2 5 4 1 3 2 3 3 2 2 1 1 0.480902424302376"
"""63"" 100269 1 1 30316 1 ""C"" 3 48 ""R"" 10 1 NA NA NA NA 2 9 5 9 3 4 2 3 NA 2 2 NA NA 9 1 NA NA NA NA 2 1 9 9 9 9 2 NA NA 1 1 9 9 9 9 9 9 9 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 4 9 9 9 NA 9 9 NA 9 NA NA NA 2 9 9 9 9 2 2 2 3 1 86 5 NA 5 NA NA 5 NA 3 2 NA 2 6 NA 99 3 3 1 9 2 9 2 9 NA 1 """" """" 1 ""R"" 3 48 1 99 1 3 2 1 6 4 2 2 1 2 1 0 0.425475241673688"
"""64"" 100272 1 1 30416 1 ""E"" 2 26 ""U"" 9 1 NA NA NA NA 2 3 1 9 1 1 1 3 NA 2 2 NA NA 2 1 NA NA NA NA 3 1 9 2 3 3 1 4 4 3 3 1 3 3 3 3 9 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 9 4 9 9 NA 9 1 NA 4 NA NA NA 1 2 4 2 9 2 2 2 2 2 81 1 NA 3 NA NA 3 NA 3 2 NA 2 2 NA 99 1 3 1 2 2 2 1 NA NA 1 """" """" 1 ""U"" 2 26 5 0 1 3 2 1 6 4 1 2 2 2 1 1 0.701001967227785"
"""65"" 100273 1 1 22916 1 ""C"" 2 17 ""S"" 9 2 NA NA NA NA 1 1 1 1 1 3 1 NA 2 NA NA 2 1 2 2 NA NA NA 2 1 2 3 1 3 2 1 2 4 1 3 3 2 NA NA NA NA NA NA 1 1 3 1 1 3 2 2 2 2 1 1 1 2 1 1 1 NA 2 2 NA 3 2 2 2 2 1 2 2 3 2 2 1 1 2 2 63 1 NA 8 5 2 5 NA 2 13 NA 2 5 1 8 1 2 NA 3 2 2 1 NA NA 2 """" """" 2 ""S"" 2 17 5 0 2 4 3 2 5 3 3 2 2 2 1 1 0.08"
"""66"" 100278 1 1 22916 1 ""E"" 3 37 ""R"" 7 2 NA NA NA NA 3 2 2 4 1 4 4 NA 4 NA NA 2 1 2 5 NA NA NA NA 1 1 2 2 2 2 2 NA NA 3 3 3 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 1 2 2 2 NA NA NA 2 4 2 NA 1 2 NA 2 9 NA NA NA 2 1 2 2 2 2 2 2 2 1 52 3 NA 3 5 NA 1 NA 4 1 NA 2 4 NA 4 3 3 2 3 2 2 1 NA NA 4 """" """" 5 ""R"" 3 37 2 0 2 3 3 5 4 3 1 2 2 2 1 1 0.720801105360365"
"""67"" 100282 1 1 30316 2 ""P"" 4 6 ""S"" 10 2 NA NA NA NA 2 2 2 2 3 3 1 NA 3 NA NA 2 2 1 7 NA NA NA NA 3 2 1 2 2 1 2 NA NA 3 3 3 2 NA NA NA NA NA NA 3 3 1 1 1 3 2 2 2 2 1 NA NA NA 1 2 1 NA 1 1 NA 1 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 70 1 NA 2 NA NA 5 3 3 12 NA NA 5 NA 3 1 2 NA 3 3 2 1 NA NA 3 """" """" 5 ""S"" 4 6 5 1 2 4 3 4 6 4 1 2 2 2 1 1 0.516344354020822"
"""68"" 100283 1 1 22916 1 ""C"" 2 27 ""R"" 1 2 NA NA NA NA 2 2 1 4 1 1 1 NA 3 NA NA 1 NA 2 1 NA NA NA NA 2 3 2 2 3 2 1 1 3 3 3 1 3 NA NA NA NA NA NA 3 3 9 3 3 3 2 2 2 2 2 NA NA NA 2 4 2 NA 2 1 NA 1 4 NA NA NA 2 2 3 4 2 2 2 2 2 2 68 5 NA 3 NA NA 3 NA 5 12 NA NA 4 NA 3 1 3 1 2 1 NA 1 NA NA 1 """" """" 1 ""R"" 2 27 1 0 1 3 3 1 6 4 1 1 2 2 1 1 1.97756106696051"
"""69"" 100284 1 1 22916 1 ""C"" 3 48 ""U"" 8 2 NA NA NA NA 1 1 3 1 1 1 1 NA 1 NA NA 2 9 2 1 NA NA NA NA 3 1 1 2 3 2 2 NA NA 2 2 2 2 NA NA NA NA NA NA 3 3 1 1 1 3 2 2 2 2 2 NA NA NA 3 2 1 NA 2 3 NA 1 4 NA NA NA 2 2 1 3 2 2 2 2 2 1 69 1 NA 5 NA NA 5 NA 3 12 NA NA 5 NA 6 1 2 NA 4 2 2 1 NA NA 1 """" """" 1 ""U"" 3 48 4 0 2 5 3 1 6 4 2 2 2 2 1 1 0.66415635514735"
"""70"" 100286 1 1 22916 1 ""C"" 3 48 ""R"" 9 1 NA NA NA NA 1 1 1 1 2 2 1 2 NA 1 3 NA NA 2 1 NA NA NA NA 1 1 1 2 1 1 2 NA NA 2 2 1 1 3 3 3 3 3 3 NA NA NA NA NA NA 2 1 1 2 2 NA NA NA 1 1 1 1 NA 1 1 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 77 5 NA 2 NA NA 3 NA 3 1 NA 1 6 NA 1 1 2 NA 1 1 NA 2 NA NA 1 """" """" 1 ""R"" 3 48 1 0 2 4 2 1 6 4 1 1 1 1 1 0 0.739807635285689"
"""71"" 100290 1 1 43016 2 ""P"" 4 6 ""U"" 8 2 NA NA NA NA 2 1 1 3 2 1 1 NA 1 NA NA 2 1 1 7 NA NA NA NA 2 1 2 2 1 1 2 NA NA 3 3 3 3 NA NA NA NA NA NA 3 3 1 1 1 3 2 1 1 2 2 NA NA NA 2 2 1 NA 1 1 NA 1 4 NA NA NA 3 NA NA NA 2 2 2 2 2 2 47 1 NA 2 5 NA 1 3 2 2 NA 2 2 NA 3 3 3 2 4 4 4 1 NA NA 3 """" """" 5 ""U"" 4 6 5 0 2 3 4 4 4 2 1 3 2 2 1 1 1.01281172077546"
"""72"" 100299 1 1 32216 1 ""P"" 4 6 ""U"" 10 2 NA NA NA NA 1 1 1 1 1 1 2 NA 1 NA NA 2 1 2 3 NA NA NA NA 2 1 1 2 2 1 2 NA NA 1 3 1 2 NA NA NA NA NA NA 3 1 3 1 3 3 2 2 2 2 2 NA NA NA 1 1 2 NA 3 3 NA 1 1 NA NA NA 3 NA NA NA 2 2 1 1 2 1 42 1 NA 8 5 NA 1 NA 3 6 NA NA 5 NA 8 3 2 NA 3 5 2 1 NA NA 4 """" """" 3 ""U"" 4 6 5 3 2 4 4 5 3 2 3 2 2 2 1 1 0.221329198909873"
"""73"" 100305 1 1 40916 1 ""P"" 4 6 ""U"" 7 1 NA NA NA NA 1 1 1 1 2 2 1 3 NA 9 3 NA NA 2 1 NA NA NA NA 3 2 3 2 3 2 2 NA NA 2 2 1 2 3 3 9 9 9 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 9 2 2 1 NA 1 1 NA 4 NA NA NA 1 2 3 3 2 2 2 2 2 1 78 1 NA 6 NA NA 5 NA 2 1 NA 1 1 NA 7 1 1 NA 2 2 2 1 NA NA 1 """" """" 1 ""U"" 4 6 4 0 1 1 2 1 6 4 3 2 2 2 1 1 0.609581450321845"
"""74"" 100310 1 1 22916 1 ""C"" 2 27 ""S"" 1 2 NA NA NA NA 2 2 1 2 2 1 1 NA 1 NA NA 1 NA 2 1 NA NA NA NA 2 2 1 3 3 1 2 NA NA 2 3 2 2 NA NA NA NA NA NA 9 1 9 9 3 3 2 2 2 2 1 NA NA NA 2 2 2 NA 1 2 NA 1 4 NA NA NA 1 2 3 2 2 2 2 1 2 2 80 5 NA 5 NA NA 5 NA 3 1 NA 1 2 NA 4 1 3 2 3 1 NA 1 NA NA 1 """" """" 1 ""S"" 2 27 5 0 2 3 2 1 6 4 2 1 2 2 1 1 1.36070584055512"
"""75"" 100316 1 1 22916 1 ""P"" 4 6 ""U"" 5 1 NA NA NA NA 3 3 1 4 1 1 1 1 NA 2 2 NA NA 2 1 NA NA NA NA 2 2 2 4 4 3 2 NA NA 3 3 1 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 1 2 2 2 NA NA NA 2 4 3 3 NA 1 9 NA 4 NA NA NA 1 2 4 4 2 2 2 2 2 2 67 1 NA 5 NA NA 3 NA 5 1 NA 2 5 NA 2 1 3 1 3 2 2 1 NA NA 1 """" """" 1 ""U"" 4 6 2 0 1 3 3 1 6 4 2 2 2 2 1 1 2.17456248352727"
"""76"" 100319 1 1 22916 1 ""P"" 4 6 ""S"" 10 1 NA NA NA NA 2 2 1 1 2 2 1 1 NA 2 3 NA NA 2 3 NA NA NA NA 3 1 1 2 2 1 2 NA NA 2 2 2 2 3 3 1 3 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 2 4 2 1 NA 3 1 NA 2 NA NA NA 2 3 1 2 2 2 2 2 3 1 69 1 NA 7 NA NA 5 NA 3 1 NA 2 4 NA 8 2 1 NA 3 5 5 1 NA NA 4 """" """" 3 ""S"" 4 6 1 0 1 2 3 5 6 4 3 3 2 2 1 1 0.208777992107699"
"""77"" 100320 1 1 32116 1 ""P"" 4 6 ""U"" 10 2 NA NA NA NA 2 1 1 1 1 3 2 NA 3 NA NA 1 NA 2 1 NA NA NA NA 2 2 2 2 1 1 2 NA NA 3 3 1 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 1 NA NA NA 3 9 2 NA 2 2 NA 2 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 95 5 NA 3 NA NA 5 NA 3 1 NA 1 2 NA 6 1 2 NA 3 2 2 1 NA NA 1 """" """" 1 ""U"" 4 6 5 0 2 4 1 1 6 4 1 2 2 2 1 1 0.406317997008565"
"""78"" 100327 1 1 41016 1 ""P"" 4 16 ""R"" 1 2 NA NA NA NA 2 2 1 2 1 3 1 NA 2 NA NA 2 1 2 1 NA NA NA NA 3 1 1 2 2 1 1 2 4 3 3 2 3 NA NA NA NA NA NA 3 3 3 1 1 3 2 2 2 2 2 NA NA NA 2 2 1 NA 2 3 NA 2 4 NA NA NA 1 2 1 2 2 2 2 2 2 2 59 1 NA 4 5 NA 1 NA 3 1 NA 2 4 NA 6 1 4 9 3 2 2 1 NA NA 1 """" """" 1 ""R"" 4 16 1 0 9 9 3 1 5 3 2 2 2 2 1 1 1.99717041558816"
"""79"" 100330 1 1 40916 1 ""P"" 4 6 ""U"" 10 2 NA NA NA NA 3 4 3 3 1 1 1 NA 1 NA NA 2 1 2 1 NA NA NA NA 2 2 1 1 2 1 2 NA NA 2 3 2 2 NA NA NA NA NA NA 1 1 1 1 1 1 2 2 1 2 1 NA NA NA 1 2 1 NA 2 3 NA 3 4 NA NA NA 3 NA NA NA 3 2 2 2 2 2 66 5 NA 6 NA NA 5 NA 4 2 NA 2 4 NA 4 1 2 NA 5 3 3 2 1 NA 1 """" """" 1 ""U"" 4 6 5 0 2 5 3 1 6 4 3 3 1 2 1 0 0.747907800523266"
